year,debates_per_year,keywords
1893,15,property
1894,25,property
1895,30,property
1896,83,property
1897,51,property
1898,39,property
1899,33,property
1900,49,property
1901,55,property
1902,88,property
1903,23,property
1904,143,property
1905,187,property
1906,267,property
1907,168,property
1908,232,property
1909,318,property
1910,227,property
1804,4, rent
1805,1, rent
1807,1, rent
1808,1, rent
1809,1, rent
1810,1, rent
1811,2, rent
1812,1, rent
1815,8, rent
1817,1, rent
1818,1, rent
1820,2, rent
1822,1, rent
1823,3, rent
1826,2, rent
1828,3, rent
1830,4, rent
1831,6, rent
1832,4, rent
1833,4, rent
1834,8, rent
1835,3, rent
1836,10, rent
1837,5, rent
1838,5, rent
1839,3, rent
1840,2, rent
1841,5, rent
1842,6, rent
1843,8, rent
1844,6, rent
1845,16, rent
1846,11, rent
1847,10, rent
1848,9, rent
1849,10, rent
1850,14, rent
1851,6, rent
1852,12, rent
1853,11, rent
1854,14, rent
1855,4, rent
1856,10, rent
1857,1, rent
1858,6, rent
1859,5, rent
1860,12, rent
1861,3, rent
1862,2, rent
1863,1, rent
1864,1, rent
1865,5, rent
1866,2, rent
1867,3, rent
1868,1, rent
1869,8, rent
1870,2, rent
1871,6, rent
1872,1, rent
1873,5, rent
1874,1, rent
1875,5, rent
1876,8, rent
1877,1, rent
1878,6, rent
1879,3, rent
1880,14, rent
1881,78, rent
1882,151, rent
1883,30, rent
1884,14, rent
1885,12, rent
1886,36, rent
1887,53, rent
1888,51, rent
1889,48, rent
1890,30, rent
1891,5, rent
1892,20, rent
1893,15, rent
1894,25, rent
1895,30, rent
1896,83, rent
1897,51, rent
1898,39, rent
1899,33, rent
1900,49, rent
1901,55, rent
1902,88, rent
1903,23, rent
1904,143, rent
1905,187, rent
1906,267, rent
1907,168, rent
1908,232, rent
1909,318, rent
1910,227, rent
1804,4,tenant
1805,1,tenant
1807,1,tenant
1808,1,tenant
1809,1,tenant
1810,1,tenant
1811,2,tenant
1812,1,tenant
1815,8,tenant
1817,1,tenant
1818,1,tenant
1820,2,tenant
1822,1,tenant
1823,3,tenant
1826,2,tenant
1828,3,tenant
1830,4,tenant
1831,6,tenant
1832,4,tenant
1833,4,tenant
1834,8,tenant
1835,3,tenant
1836,10,tenant
1837,5,tenant
1838,5,tenant
1839,3,tenant
1840,2,tenant
1841,5,tenant
1842,6,tenant
1843,8,tenant
1844,6,tenant
1845,16,tenant
1846,11,tenant
1847,10,tenant
1848,9,tenant
1849,10,tenant
1850,14,tenant
1851,6,tenant
1852,12,tenant
1853,11,tenant
1854,14,tenant
1855,4,tenant
1856,10,tenant
1857,1,tenant
1858,6,tenant
1859,5,tenant
1860,12,tenant
1861,3,tenant
1862,2,tenant
1863,1,tenant
1864,1,tenant
1865,5,tenant
1866,2,tenant
1867,3,tenant
1868,1,tenant
1869,8,tenant
1870,2,tenant
1871,6,tenant
1872,1,tenant
1873,5,tenant
1874,1,tenant
1875,5,tenant
1876,8,tenant
1877,1,tenant
1878,6,tenant
1879,3,tenant
1880,14,tenant
1881,78,tenant
1882,151,tenant
1883,30,tenant
1884,14,tenant
1885,12,tenant
1886,36,tenant
1887,53,tenant
1888,51,tenant
1889,48,tenant
1890,30,tenant
1891,5,tenant
1892,20,tenant
1893,15,tenant
1894,25,tenant
1895,30,tenant
1896,83,tenant
1897,51,tenant
1898,39,tenant
1899,33,tenant
1900,49,tenant
1901,55,tenant
1902,88,tenant
1903,23,tenant
1904,143,tenant
1905,187,tenant
1906,267,tenant
1907,168,tenant
1908,232,tenant
1909,318,tenant
1910,227,tenant
1804,4,tenure
1805,1,tenure
1807,1,tenure
1808,1,tenure
1809,1,tenure
1810,1,tenure
1811,2,tenure
1812,1,tenure
1815,8,tenure
1817,1,tenure
1818,1,tenure
1820,2,tenure
1822,1,tenure
1823,3,tenure
1826,2,tenure
1828,3,tenure
1830,4,tenure
1831,6,tenure
1832,4,tenure
1833,4,tenure
1834,8,tenure
1835,3,tenure
1836,10,tenure
1837,5,tenure
1838,5,tenure
1839,3,tenure
1840,2,tenure
1841,5,tenure
1842,6,tenure
1843,8,tenure
1844,6,tenure
1845,16,tenure
1846,11,tenure
1847,10,tenure
1848,9,tenure
1849,10,tenure
1850,14,tenure
1851,6,tenure
1852,12,tenure
1853,11,tenure
1854,14,tenure
1855,4,tenure
1856,10,tenure
1857,1,tenure
1858,6,tenure
1859,5,tenure
1860,12,tenure
1861,3,tenure
1862,2,tenure
1863,1,tenure
1864,1,tenure
1865,5,tenure
1866,2,tenure
1867,3,tenure
1868,1,tenure
1869,8,tenure
1870,2,tenure
1871,6,tenure
1872,1,tenure
1873,5,tenure
1874,1,tenure
